customer_id,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status
1.0,22,59000.0,RENT,123.0,PERSONAL,C,35000.0,16.02,10,Y,3,DEFAULT
2.0,21,9600.0,OWN,5.0,EDUCATION,A,1000.0,11.14,1,Unknown,2,NO DEFAULT
3.0,25,9600.0,MORTGAGE,1.0,MEDICAL,B,5500.0,12.87,5,N,3,DEFAULT
4.0,23,65500.0,RENT,4.0,MEDICAL,B,35000.0,15.23,10,N,2,DEFAULT
5.0,24,54400.0,RENT,8.0,MEDICAL,B,35000.0,14.27,10,Y,4,DEFAULT
6.0,21,9900.0,OWN,2.0,VENTURE,A,2500.0,7.14,1,N,2,DEFAULT
7.0,26,77100.0,RENT,8.0,EDUCATION,A,35000.0,12.42,10,Unknown,3,NO DEFAULT
8.0,24,78956.0,RENT,5.0,MEDICAL,A,35000.0,11.11,10,Unknown,4,NO DEFAULT
9.0,24,83000.0,RENT,8.0,PERSONAL,A,35000.0,8.9,10,Unknown,2,NO DEFAULT
10.0,21,10000.0,OWN,6.0,VENTURE,C,1600.0,14.74,1,N,3,DEFAULT
11.0,22,85000.0,RENT,6.0,VENTURE,A,35000.0,10.37,10,Unknown,4,NO DEFAULT
12.0,21,10000.0,OWN,2.0,HOMEIMPROVEMENT,A,4500.0,8.63,1,N,2,DEFAULT
13.0,23,95000.0,RENT,2.0,VENTURE,A,35000.0,7.9,10,Unknown,2,NO DEFAULT
14.0,26,108160.0,RENT,4.0,EDUCATION,D,35000.0,18.39,10,N,4,DEFAULT
15.0,23,115000.0,RENT,2.0,EDUCATION,A,35000.0,7.9,10,Unknown,4,NO DEFAULT
16.0,23,500000.0,MORTGAGE,7.0,DEBTCONSOLIDATION,A,30000.0,10.65,10,Unknown,3,NO DEFAULT
17.0,23,120000.0,RENT,0.0,EDUCATION,A,35000.0,7.9,10,Unknown,4,NO DEFAULT
18.0,23,92111.0,RENT,7.0,MEDICAL,E,35000.0,20.25,10,N,4,DEFAULT
19.0,23,113000.0,RENT,8.0,DEBTCONSOLIDATION,C,35000.0,18.25,10,N,4,DEFAULT
20.0,24,10800.0,MORTGAGE,8.0,EDUCATION,A,1750.0,10.99,4,N,2,DEFAULT
21.0,25,162500.0,RENT,2.0,VENTURE,A,35000.0,7.49,10,Unknown,4,NO DEFAULT
22.0,25,137000.0,RENT,9.0,PERSONAL,D,34800.0,16.77,10,Y,2,NO DEFAULT
